Week,diet: (United States)
6/2/2013,79
6/9/2013,76
6/16/2013,73
6/23/2013,73
6/30/2013,68
7/7/2013,78
7/14/2013,71
7/21/2013,70
7/28/2013,76
8/4/2013,71
8/11/2013,68
8/18/2013,69
8/25/2013,63
9/1/2013,66
9/8/2013,65
9/15/2013,62
9/22/2013,60
9/29/2013,61
10/6/2013,60
10/13/2013,65
10/20/2013,62
10/27/2013,58
11/3/2013,63
11/10/2013,63
11/17/2013,58
11/24/2013,46
12/1/2013,56
12/8/2013,53
12/15/2013,49
12/22/2013,54
12/29/2013,86
1/5/2014,100
1/12/2014,82
1/19/2014,77
1/26/2014,75
2/2/2014,72
2/9/2014,68
2/16/2014,75
2/23/2014,75
3/2/2014,76
3/9/2014,73
3/16/2014,72
3/23/2014,72
3/30/2014,71
4/6/2014,72
4/13/2014,70
4/20/2014,72
4/27/2014,71
5/4/2014,71
5/11/2014,68
5/18/2014,68
5/25/2014,68
6/1/2014,65
6/8/2014,64
6/15/2014,67
6/22/2014,65
6/29/2014,59
7/6/2014,63
7/13/2014,62
7/20/2014,63
7/27/2014,59
8/3/2014,64
8/10/2014,60
8/17/2014,57
8/24/2014,56
8/31/2014,58
9/7/2014,57
9/14/2014,57
9/21/2014,58
9/28/2014,57
10/5/2014,54
10/12/2014,53
10/19/2014,54
10/26/2014,54
11/2/2014,53
11/9/2014,52
11/16/2014,49
11/23/2014,40
11/30/2014,55
12/7/2014,48
12/14/2014,44
12/21/2014,42
12/28/2014,69
1/4/2015,86
1/11/2015,73
1/18/2015,65
1/25/2015,62
2/1/2015,60
2/8/2015,58
2/15/2015,59
2/22/2015,63
3/1/2015,64
3/8/2015,62
3/15/2015,64
3/22/2015,64
3/29/2015,60
4/5/2015,65
4/12/2015,65
4/19/2015,67
4/26/2015,63
5/3/2015,62
5/10/2015,63
5/17/2015,61
5/24/2015,63
5/31/2015,63
6/7/2015,62
6/14/2015,61
6/21/2015,59
6/28/2015,58
7/5/2015,59
7/12/2015,59
7/19/2015,62
7/26/2015,63
8/2/2015,60
8/9/2015,59
8/16/2015,58
8/23/2015,54
8/30/2015,54
9/6/2015,55
9/13/2015,57
9/20/2015,53
9/27/2015,52
10/4/2015,52
10/11/2015,53
10/18/2015,53
10/25/2015,52
11/1/2015,53
11/8/2015,49
11/15/2015,46
11/22/2015,39
11/29/2015,47
12/6/2015,46
12/13/2015,41
12/20/2015,41
12/27/2015,62
1/3/2016,84
1/10/2016,68
1/17/2016,67
1/24/2016,67
1/31/2016,67
2/7/2016,60
2/14/2016,61
2/21/2016,67
2/28/2016,65
3/6/2016,64
3/13/2016,62
3/20/2016,62
3/27/2016,64
4/3/2016,68
4/10/2016,65
4/17/2016,65
4/24/2016,63
5/1/2016,61
5/8/2016,59
5/15/2016,63
5/22/2016,59
5/29/2016,59
6/5/2016,62
6/12/2016,57
6/19/2016,58
6/26/2016,58
7/3/2016,59
7/10/2016,58
7/17/2016,56
7/24/2016,57
7/31/2016,61
8/7/2016,60
8/14/2016,57
8/21/2016,56
8/28/2016,55
9/4/2016,56
9/11/2016,53
9/18/2016,54
9/25/2016,52
10/2/2016,51
10/9/2016,48
10/16/2016,52
10/23/2016,48
10/30/2016,48
11/6/2016,44
11/13/2016,52
11/20/2016,39
11/27/2016,49
12/4/2016,48
12/11/2016,43
12/18/2016,40
12/25/2016,56
1/1/2017,82
1/8/2017,74
1/15/2017,70
1/22/2017,69
1/29/2017,76
2/5/2017,81
2/12/2017,71
2/19/2017,75
2/26/2017,71
3/5/2017,72
3/12/2017,69
3/19/2017,70
3/26/2017,70
4/2/2017,67
4/9/2017,65
4/16/2017,71
4/23/2017,69
4/30/2017,68
5/7/2017,65
5/14/2017,66
5/21/2017,64
5/28/2017,66
6/4/2017,68
6/11/2017,64
6/18/2017,67
6/25/2017,66
7/2/2017,68
7/9/2017,71
7/16/2017,70
7/23/2017,71
7/30/2017,69
8/6/2017,68
8/13/2017,62
8/20/2017,57
8/27/2017,57
9/3/2017,55
9/10/2017,57
9/17/2017,60
9/24/2017,59
10/1/2017,58
10/8/2017,61
10/15/2017,61
10/22/2017,59
10/29/2017,54
11/5/2017,58
11/12/2017,58
11/19/2017,46
11/26/2017,56
12/3/2017,54
12/10/2017,52
12/17/2017,49
12/24/2017,61
12/31/2017,92
1/7/2018,89
1/14/2018,79
1/21/2018,81
1/28/2018,82
2/4/2018,80
2/11/2018,71
2/18/2018,77
2/25/2018,80
3/4/2018,75
3/11/2018,77
3/18/2018,80
3/25/2018,89
4/1/2018,86
4/8/2018,84
4/15/2018,81
4/22/2018,82
4/29/2018,83
5/6/2018,79
5/13/2018,78
5/20/2018,77
5/27/2018,79
